signature,artifact,exists,expected_sha256,actual_sha256,passed
step_07_signature.json,step_06_manuscript_submission_readiness_and_archive/outputs/final_archive_signature.json,True,9c027b16f9253c2fe5a226a491ca79c52cad73bd0049e95e8d8debd756eb37a5,9c027b16f9253c2fe5a226a491ca79c52cad73bd0049e95e8d8debd756eb37a5,True
step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/PAPER_DRAFT_WITH_CITATION_KEYS.md,True,a663e31d13a2277b41bb3b310ad1d6040c16dbac9f4448c2a019f277fc79a64d,a663e31d13a2277b41bb3b310ad1d6040c16dbac9f4448c2a019f277fc79a64d,True
step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/claim_2024_alignment_gap_map.csv,True,92b7097069859a8db0d94cd7ac2957e7e7c1024a3e5a0915f80368dba1bb33aa,92b7097069859a8db0d94cd7ac2957e7e7c1024a3e5a0915f80368dba1bb33aa,True
step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/gate_result.json,True,199ede841ea82a881274516c5d07672faedd81dc9b2bc9f2de824ccd19ce0608,199ede841ea82a881274516c5d07672faedd81dc9b2bc9f2de824ccd19ce0608,True
step_07_signature.json,step_07_manuscript_evidence_and_declaration_scaffold/outputs/reference_evidence.csv,True,4e90e4fea545fbc838cd351e2db8f6b53006a44d136f44c2c6d4c6ce80ad4d4c,4e90e4fea545fbc838cd351e2db8f6b53006a44d136f44c2c6d4c6ce80ad4d4c,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\EXTERNAL_EVALUATION_DATA_CARD.md,True,7eb1e46f3382065b3011ee25de4e139a796ad81ae46e58cef247c183a6c0127a,7eb1e46f3382065b3011ee25de4e139a796ad81ae46e58cef247c183a6c0127a,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\acceptance_reconciliation.csv,True,b6644f4bf9af5cce88d921b20204280fc619d00bf5203f656665f569ecc81da4,b6644f4bf9af5cce88d921b20204280fc619d00bf5203f656665f569ecc81da4,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\descriptive_reliability.csv,True,f9c4f80769fb9f704f3c3a33e65b72ca71fc58eb7e8121f0715edd8835cbef09,f9c4f80769fb9f704f3c3a33e65b72ca71fc58eb7e8121f0715edd8835cbef09,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\external_evidence_validation_dashboard.png,True,6cb9f9edfaa4bf9830f4be7dadcdab7d71e295e56f52d29c1cedd5c028b68768,6cb9f9edfaa4bf9830f4be7dadcdab7d71e295e56f52d29c1cedd5c028b68768,True
step_17_signature.json,step_17_external_evaluation_evidence_validation_and_data_card\outputs\external_failure_atlas.png,True,fceb1a969704663d6da08050cac909aea47237bdbc5a6bacffe0c8f18f9a4d9c,fceb1a969704663d6da08050cac909aea47237bdbc5a6bacffe0c8f18f9a4d9c,True
