internal_patient_id,label_name,source_slices,matched_slices,missing_instances,max_position_error_mm,shape_matches_prediction
ircadb_05,artery,139,139,0,0.0,True
ircadb_05,bone,139,139,0,0.0,True
ircadb_05,leftkidney,139,139,0,0.0,True
ircadb_05,leftsurrenalgland,139,139,0,0.0,True
ircadb_05,leftsurretumor,139,139,0,0.0,True
ircadb_05,liver,139,139,0,0.0,True
ircadb_05,lungs,139,139,0,0.0,True
ircadb_05,pancreas,139,139,0,0.0,True
ircadb_05,portalvein,139,139,0,0.0,True
ircadb_05,rightkidney,139,139,0,0.0,True
ircadb_05,rightsurrenalgland,139,139,0,0.0,True
ircadb_05,rightsurretumor,139,139,0,0.0,True
ircadb_05,skin,139,139,0,0.0,True
ircadb_05,spleen,139,139,0,0.0,True
ircadb_05,stomach,139,139,0,0.0,True
ircadb_05,venoussystem,139,139,0,0.0,True
ircadb_07,artery,151,151,0,0.0,True
ircadb_07,bone,151,151,0,0.0,True
ircadb_07,leftkidney,151,151,0,0.0,True
ircadb_07,leftlung,151,151,0,0.0,True
ircadb_07,leftsurrenalgland,151,151,0,0.0,True
ircadb_07,liver,151,151,0,0.0,True
ircadb_07,portalvein,151,151,0,0.0,True
ircadb_07,rightkidney,151,151,0,0.0,True
ircadb_07,rightlung,151,151,0,0.0,True
ircadb_07,skin,151,151,0,0.0,True
ircadb_07,spleen,151,151,0,0.0,True
ircadb_07,tumor,151,151,0,0.0,True
ircadb_07,venoussystem,151,151,0,0.0,True
ircadb_11,artery,132,132,0,0.0,True
ircadb_11,bone,132,132,0,0.0,True
ircadb_11,gallbladder,132,132,0,0.0,True
ircadb_11,leftkidney,132,132,0,0.0,True
ircadb_11,leftsurrenalgland,132,132,0,0.0,True
ircadb_11,liver,132,132,0,0.0,True
ircadb_11,portalvein,132,132,0,0.0,True
ircadb_11,rightkidney,132,132,0,0.0,True
ircadb_11,rightsurrenalgland,132,132,0,0.0,True
ircadb_11,skin,132,132,0,0.0,True
ircadb_11,venacava,132,132,0,0.0,True
ircadb_14,bone,113,113,0,0.0,True
ircadb_14,liver,113,113,0,0.0,True
ircadb_14,metastasectomie,113,113,0,0.0,True
ircadb_14,portalvein,113,113,0,0.0,True
ircadb_14,skin,113,113,0,0.0,True
ircadb_14,venoussystem,113,113,0,0.0,True
ircadb_18,bone,74,74,0,0.0,True
ircadb_18,gallbladder,74,74,0,0.0,True
ircadb_18,liver,74,74,0,0.0,True
ircadb_18,livertumor,74,74,0,0.0,True
ircadb_18,portalvein,74,74,0,0.0,True
ircadb_18,skin,74,74,0,0.0,True
ircadb_18,venacava,74,74,0,0.0,True
ircadb_20,artery,225,225,0,0.0,True
ircadb_20,bladder,225,225,0,0.0,True
ircadb_20,bone,225,225,0,0.0,True
ircadb_20,colon,225,225,0,0.0,True
ircadb_20,gallbladder,225,225,0,0.0,True
ircadb_20,heart,225,225,0,0.0,True
ircadb_20,leftkidney,225,225,0,0.0,True
ircadb_20,liver,225,225,0,0.0,True
ircadb_20,lungs,225,225,0,0.0,True
ircadb_20,pancreas,225,225,0,0.0,True
ircadb_20,portalvein,225,225,0,0.0,True
ircadb_20,rightkidney,225,225,0,0.0,True
ircadb_20,skin,225,225,0,0.0,True
ircadb_20,smallintestin,225,225,0,0.0,True
ircadb_20,spleen,225,225,0,0.0,True
ircadb_20,stomach,225,225,0,0.0,True
ircadb_20,surrenalgland,225,225,0,0.0,True
ircadb_20,uterus,225,225,0,0.0,True
ircadb_20,venacava,225,225,0,0.0,True
